year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.0062,    5.0382,    7.1467,    7.2433,   11.1258,    4.6574,    6.9114,    5.9902,    6.6232,    6.6908,    3.5815,    4.0920,    5.3025,    5.1237,    5.4675,    3.5580,    5.2670,    6.7143,    4.2905,    7.9683,    3.0558,    3.8731,    8.0166,    6.2120,    7.8933
 1973.0000,    7.7182,    5.9898,    8.1018,    7.6618,   12.2724,    4.8088,    8.6818,    6.9013,    7.6432,    7.7800,    4.4453,    4.6205,    5.4142,    5.6855,    6.5236,    4.0216,    6.2993,    7.9809,    4.9756,    8.6548,    3.5996,    4.5660,    8.9577,    6.4565,    8.2005
 1974.0000,    9.6161,    6.9012,    9.0849,    8.9597,   12.5725,    5.5635,    9.6901,    8.7461,    7.8618,    8.4870,    5.0370,    5.6050,    6.0635,    6.2958,    7.3326,    4.9357,    7.0763,    9.1956,    6.3138,    8.5948,    4.9304,    5.3375,   10.4743,    7.1940,    8.9659
 1975.0000,    9.9701,    7.7925,   10.4817,    9.0074,   13.1887,    5.4023,   11.1984,   10.2691,    9.6284,    9.4022,    5.3610,    5.3113,    6.9183,    6.9748,    7.5791,    5.0900,    8.0314,   10.9237,    6.8447,    8.4147,    5.3083,    6.0583,   11.8982,    8.3410,    9.4279
 1976.0000,    9.9187,    7.4422,   10.2739,    9.3599,   12.2977,    5.5860,   10.9497,   10.1177,    9.2569,    9.2262,    5.4066,    4.8708,    6.5020,    6.3787,    8.1892,    4.7489,    7.8928,   10.8090,    6.7895,    8.0991,    5.9213,    5.7263,   11.6554,    7.5821,    9.8387
 1977.0000,    9.2803,    8.3535,   11.5294,    8.9296,   11.0752,    6.4846,   11.4391,    9.9561,    9.3213,    9.9732,    5.7410,    4.7409,    6.9604,    6.6171,    9.1072,    4.4231,    8.6985,   12.0501,    6.1535,    8.1748,    6.5661,    5.9282,   12.0684,    8.0805,   10.0720
 1978.0000,    9.5958,    9.2757,   13.0813,    8.7989,   12.6644,    7.1367,   12.5420,   10.1194,   10.6903,   11.4013,    6.0182,    5.0415,    8.1953,    7.5631,   11.6247,    4.6025,    9.8791,   11.1442,    6.2374,    9.0648,    7.8217,    6.7864,   12.5572,    9.4119,   10.2767
 1979.0000,   10.3721,   10.1631,   14.2503,    9.5614,   15.0725,    7.7631,   14.2901,   11.8718,   12.2250,   12.7630,    6.7061,    5.6517,    9.5567,    8.6959,   11.5180,    5.6618,   11.1593,   12.3036,    6.6144,    9.1519,    9.1746,    8.5480,   14.2506,   11.4592,   10.9779
 1980.0000,   10.7275,   11.0690,   14.0125,    9.9100,   16.9590,    8.6164,   14.0412,   13.5498,   13.1179,   12.9551,    6.7188,    6.3859,   10.4729,   10.1659,   11.6735,    6.4240,   11.2162,   12.9008,    7.7508,    9.4406,    8.7976,    8.9086,   15.5832,   13.6830,   11.4469
 1981.0000,   11.7469,    9.0741,   11.6924,   10.7402,   14.1426,    8.6762,   11.9535,   11.6239,   11.0843,   10.5974,    5.9224,    5.9744,    9.6794,    8.6922,   11.7923,    7.1973,    9.2265,   11.7348,    7.3918,    9.3113,    9.2570,    7.7901,   13.4288,   12.2223,   12.1624
 1982.0000,   10.6210,    8.6457,   10.0103,   10.2583,   12.5970,    9.1678,   11.0233,   10.9066,    9.9963,    9.9212,    6.1303,    5.5009,    8.8012,    8.1177,   10.3757,    4.5686,    8.7312,   11.3115,    6.6652,    9.1868,    8.3251,    7.0342,   11.7636,   10.9364,   11.9637
 1983.0000,    9.4146,    8.1065,    9.5455,   10.6631,   11.9741,    8.9060,   10.0859,   10.0940,    9.0892,    9.3763,    5.6987,    5.7867,    8.3877,    7.9659,   10.7267,    4.0525,    8.2351,   10.2873,    5.5930,    8.7273,    7.6612,    5.9763,   10.4518,    9.7285,   11.9749
 1984.0000,    9.4070,    7.5819,    8.5277,   10.1930,    7.9224,    9.1212,    9.5287,    9.8160,    8.3417,    8.3473,    5.3402,    5.0623,    7.6294,    7.5420,   10.4203,    4.6781,    7.4694,    9.6201,    5.0536,    8.2200,    7.7205,    5.6347,   10.0532,    8.5601,   12.2083
 1985.0000,    7.9994,    7.4139,    8.1002,    9.8066,    6.3023,    7.5621,    9.8604,    9.7388,    8.4976,    8.1072,    5.1368,    4.8347,    7.9613,    7.4470,   10.1185,    4.8949,    7.2618,    9.4976,    5.0738,    7.8472,    7.1920,    5.8155,   10.2945,    8.5965,   11.8261
 1986.0000,    7.6889,    9.4664,   10.1959,    9.5166,    5.5839,    6.5630,   12.3340,   11.4827,   10.6539,   10.5379,    5.8191,    4.8509,    9.6551,    9.4045,   13.1581,    3.7623,    9.4374,   11.7077,    6.3153,    7.9772,    6.5795,    7.2187,   12.2792,    9.3477,   11.1712
 1987.0000,    8.0587,   11.0858,   11.8165,   10.3597,    6.6685,    6.8446,   14.0408,   13.9000,   12.0356,   12.2089,    6.7636,    4.6201,   10.7576,   10.8720,   14.8003,    3.6597,   11.1871,   13.9025,    7.1449,    8.7693,    7.3576,    8.5288,   14.2924,   10.6948,   11.4370
 1988.0000,    9.4993,   11.7356,   11.5921,   11.3550,    7.8733,    7.1741,   14.5257,   15.3482,   12.1226,   12.4384,    7.1744,    4.9861,   11.4286,   11.4369,   16.5042,    4.4255,   11.3129,   14.9209,    8.2491,    9.1761,    8.4779,    9.4155,   15.5471,   12.1979,   11.7260
 1989.0000,    9.9435,   10.9015,   11.1287,   11.3242,    8.3430,    6.3443,   13.6379,   15.6200,   11.2534,   11.5886,    7.1508,    4.5535,   10.9612,   11.1300,   14.8301,    4.7120,   10.2769,   13.5784,    7.9822,    8.7714,    9.2042,    9.3603,   15.1392,   11.4299,   11.6943
 1990.0000,   10.1103,   12.8478,   13.1853,   11.2581,    6.5074,    6.2434,   16.0763,   17.8758,   13.2050,   13.7436,    8.2167,    4.6549,   12.4123,   12.9719,   14.3515,    4.7925,   11.7685,   14.8801,    9.0760,    8.6023,    9.5404,   10.9529,   17.2210,   12.6439,   11.7539
 1991.0000,    9.3679,   12.0145,   12.2156,   11.2072,    5.5158,    5.6784,   14.9228,   15.3986,   12.3229,   13.3724,    8.3219,    3.8544,   11.6896,   12.6666,   15.0299,    5.2681,   11.0466,   13.2887,    9.4617,    8.0865,    9.6918,   10.7831,   16.6271,   12.0647,   11.3820
 1992.0000,    8.8586,   12.4444,   12.1186,   10.6614,    5.8826,    5.1548,   15.4464,   14.0147,   12.8456,   14.1740,    8.3930,    3.8325,   12.5643,   12.8775,   15.6370,    6.1839,   11.6436,   13.4311,   10.3879,    6.5999,    9.3320,   10.8463,   16.4662,   11.9567,   11.4177
 1993.0000,    8.2288,   11.3551,   11.8027,    9.8564,    6.4620,    5.7527,   14.4009,   11.4551,   11.6982,   12.6944,    7.4779,    3.2019,   10.1021,   10.2281,   16.6544,    6.0787,   10.9804,   11.9496,    7.9252,    6.8098,    8.9908,    8.6289,   12.9103,   10.8456,   11.3635
 1994.0000,    9.1506,   11.9454,   11.8554,    9.3333,    4.9788,    6.5981,   14.8329,   13.1107,   12.2052,   13.1416,    7.8615,    3.4537,   11.0950,   10.5419,   17.6946,    5.7866,   11.3930,   12.2572,    8.6504,    8.6460,    9.5475,    8.9185,   13.8402,   10.8959,   11.3453
 1995.0000,    9.2137,   14.0637,   14.4272,    9.5785,    5.4715,    7.2204,   16.5291,   15.8089,   13.6872,   15.0172,    8.7631,    3.8082,   11.9461,   10.9128,   18.8063,    4.5424,   12.8730,   13.8209,   10.1907,    8.3128,   10.6019,    9.8511,   15.9805,   11.6821,   11.4426
 1996.0000,    9.5996,   13.4647,   13.9125,    9.4490,    6.1439,    7.2833,   15.6236,   14.5663,   13.3639,   14.1881,    8.9475,    3.6224,   11.8152,   11.6363,   16.1954,    5.4329,   12.0187,   13.1928,    9.9684,    8.5443,   10.7548,    9.8608,   16.4565,   11.7210,   11.4831
 1997.0000,    8.8218,   11.7183,   12.4670,    9.4207,    5.8279,    7.5692,   14.6641,   13.1641,   11.7264,   12.3632,    7.9832,    3.5313,   11.5932,   10.8884,   14.4998,    6.0468,   10.9244,   12.3622,    9.1300,    8.2915,    9.3100,    8.8490,   14.2853,   11.8871,   11.5567
 1998.0000,    7.7390,   11.2755,   12.2593,    8.9022,    5.2903,    7.1952,   14.5492,   13.1012,   11.5701,   12.1440,    7.9355,    3.3575,   10.9447,   10.6520,   13.3363,    5.9105,   10.3511,   12.4262,    8.6944,    7.7327,    6.0819,    8.5907,   13.6568,   11.6635,   11.3532
 1999.0000,    8.0416,   10.5532,   11.6535,    8.7662,    5.1037,    6.1908,   13.2136,   12.0773,   10.6088,   11.1580,    7.8478,    3.2272,   10.8182,   10.0781,   14.3878,    6.0802,    9.9296,   11.4290,    8.5993,    6.6603,    7.8078,    8.2218,   12.7512,   11.0171,   11.0812
 2000.0000,    6.9124,    9.5327,   10.5911,    8.5178,    4.7623,    4.7420,   11.3556,   10.2745,    9.2991,    9.5592,    6.6291,    3.1598,    9.2667,    8.8058,   14.5246,    6.6095,    8.6905,    9.7216,    7.4620,    6.1806,    8.2891,    7.2569,   11.7544,   10.1611,   10.7829
 2001.0000,    6.1080,    9.0668,   10.0963,    7.7457,    4.9000,    4.5958,   11.1546,   10.0561,    8.8530,    9.2817,    6.0842,    3.0159,    8.6318,    8.3944,   12.3058,    6.4514,    8.3503,    9.1555,    7.2795,    5.8147,    6.9076,    7.0916,   10.3570,    9.1051,   10.3129
 2002.0000,    6.9052,    9.1830,   10.9385,    8.0552,    4.9190,    4.5051,   11.7627,   10.8708,    9.1830,    9.4725,    6.3387,    2.9812,    8.4946,    8.9708,   11.6813,    6.3105,    8.7095,   10.3785,    7.6066,    5.6752,    7.5415,    7.4325,   10.9706,    8.9693,   10.3729
 2003.0000,    8.1623,   11.1371,   12.7877,    8.6913,    5.4355,    4.2042,   13.7429,   12.7841,   10.7459,   10.9384,    7.8258,    3.0805,   10.3985,   10.6228,   12.1048,    6.3559,   10.8604,   11.6434,    9.0076,    6.0439,    7.7288,    8.9452,   13.3015,   10.2402,   10.2880
 2004.0000,    9.0513,   12.1328,   14.0243,    9.2555,    5.6120,    4.7346,   15.1034,   13.5101,   11.8305,   11.7240,    8.6010,    3.3464,   11.4473,   11.7699,   12.5097,    6.3239,   11.8456,   12.0627,   10.3451,    6.5773,    8.3301,   10.1596,   14.3140,   11.5275,   10.4665
 2005.0000,    9.5137,   12.3552,   14.6349,   10.1125,    5.7264,    5.6133,   15.3349,   13.8709,   12.4571,   12.2948,    8.7807,    3.7827,   11.5515,   12.2555,   12.6264,    6.9832,   12.5517,   12.9825,   11.1938,    7.1372,    9.5512,   10.6720,   14.3868,   11.7718,   10.9893
 2006.0000,    9.4699,   12.6082,   14.6450,   11.0254,    5.9964,    5.9302,   16.2580,   14.1986,   12.5565,   12.7112,    9.2357,    3.9505,   12.7308,   12.6786,   11.7531,    7.3034,   13.2204,   13.4188,   10.8593,    7.6322,   10.0542,   11.2040,   14.7183,   12.6083,   11.1361
 2007.0000,   10.5438,   14.1973,   16.1446,   11.6923,    6.7381,    6.8023,   18.2646,   15.8130,   14.1316,   13.7390,   10.2870,    4.5086,   14.2953,   14.0903,   11.4489,    7.7318,   14.0305,   15.2831,   12.3826,    8.5293,   10.2459,   12.3944,   16.6466,   13.5410,   11.2572
