                  country,   volatility
                Australia, 0.0008150346
                  Austria, 0.0002322813
   Belgium and Luxembourg, 0.0002046473
                   Canada, 0.0001639477
                    China, 0.0058618845
                 Colombia, 0.0009137095
                  Denmark, 0.0001436785
                  Finland, 0.0003517684
                   France, 0.0001420052
                  Germany, 0.0001759922
                   Greece, 0.0002931679
                    India, 0.0008114632
                  Ireland, 0.0006301018
                    Italy, 0.0001013699
                    Japan, 0.0001287026
                   Mexico, 0.0010246335
              Netherlands, 0.0002317580
                   Norway, 0.0004788466
                 Portugal, 0.0009129629
                      ROW, 0.0017951822
              South Korea, 0.0007139122
                    Spain, 0.0001598817
                   Sweden, 0.0002143465
           United Kingdom, 0.0001762334
            United States, 0.0001998618